city,country,2017,2018,2019,2020,2021,2022,2023
Zenica,Bosnia Herzegovina,,,34.8,27.7,76.8,48.6,44.2
Borivli,India,,,,,38.1,44.7,44.2
Shijiazhuang,China,98.8,76.7,64,57.6,46.5,43.8,43.8
Taiyuan,China,63.7,55.9,53.4,52.1,46.3,43.9,43.8
Urumqi,China,76,59.2,54.5,51.2,45.4,43.3,43.8
Zhoucheng,China,,,,,44.7,43.7,43.8
Zhoukou,China,59.9,58.9,56.6,50.3,44.8,44.9,43.8
Huangpi,China,,,,,45.6,42.7,43.7
Dubai,United Arab Emirates,,55.3,40.9,32.6,36.9,43.7,43.7
Nangong,China,,,,,44.6,45.1,43.6
Pingyin,China,,,,,39.9,43.4,43.6
Dingzhou,China,,,,,39.9,44.6,43.4
Wenshang,China,,,,,43.2,43.1,43.4
Xinji,China,,,,,42.1,44.9,43.4
Yanzhou,China,,,,,42.4,43.2,43.4
Zhumadian,China,57.9,60.4,52.1,45.9,42.9,44,43.4
Caidian,China,,,,,40.3,42.7,43.2
Yanliang,China,,,45.5,51,41,43,43.1
Kigali,Rwanda,,,,,43.1,44,43.1
Liaocheng,China,72,60.3,58.8,53.9,47.6,43,43
Xingtai,China,103.7,76.7,63.5,55.9,44,43,43
Huaibei,China,66.2,58.2,55.1,49.8,42.2,42.9,42.9
Suozhen,China,,,,,41.4,42.8,42.9
Qingnian,China,,,,,42,43,42.8
Jingzhou,China,55.7,47.7,45.3,36.1,35,42.7,42.7
Zibo,China,63.1,55.9,57.7,53.9,49.2,42.7,42.7
Hyderabad,India,51,44.2,39,34.7,39.4,42.4,42.5
Baoding,China,92.7,70.7,57.7,52.2,45.4,42.4,42.4
Baoji,China,54.8,49.9,49.8,43.8,38,42.2,42.4
Belgaum,India,,,,,28.1,45,42.4
Ramgarh Cantonment,India,,,,,,42.3,42.4
Thabazimbi,South Africa,,,19.4,14.7,26.6,42.2,42.4
Xiazhen,China,,,,,47.2,42.2,42.2
Zhoucun,China,,,,,43.2,42.2,42.2
Dewas,India,,48.2,38.5,39.2,38.9,42.9,42.2
Lagos,Nigeria,,,,,40.9,36.1,42.2
Kanhapur M,India,,,,,,41.6,42.1
Taozhuang,China,,,,,42.8,42.3,42
Yangquan,China,63.6,59,50.6,46.3,45.9,42,41.9
Alwar,India,,52.8,46.4,41.1,42.9,41.9,41.8
Tianchang,China,,,,,37.5,42,41.7
Yibin,China,55.4,49.3,45.9,38.8,43.3,41.7,41.7
Nanding,China,,,,,41.5,41.5,41.6
Shashi,China,,,42.6,38.9,37.9,41.6,41.6
Doha,Qatar,,,,44.3,38.2,41.8,41.6
Kampala,Uganda,54.3,40.8,29.1,26.1,27.6,39.6,41.6
Huayin,China,,,38.6,44,39.6,41.3,41.5
Doboj,Bosnia Herzegovina,,,,,,40.8,41.2
Bozhou,China,63.3,57.5,54,48.3,39.5,41.2,41.2
Xiaogan,China,49.4,43.9,43.9,35.9,33.9,41.1,41.2
Vitarte,Peru,,,,,,40,41.2
Novi Pazar,Serbia,,,,,46.6,41.7,41.2
Tulera,India,,,,,,38.6,41.1
San Juan de Lurigancho,Peru,,,,22.4,34,41.2,41.1
Zaozhuang,China,62,57.6,59.6,54.8,44.8,40.9,40.9
Zoucheng,China,,,,,39.6,40.5,40.8
Solapur,India,37.7,38.9,36.9,30.6,32.6,39.3,40.8
Kathmandu,Nepal,45.9,54.4,48,39.2,50.9,40.7,40.8
Dezhou,China,68.5,54.8,53.4,50.1,44.1,40.7,40.7
Indore,India,,,,40,45.5,39.4,40.7
Bhopal,India,,,44.6,39.1,42.6,40.5,40.6
Talcher,India,,58,38.4,42.6,43,43.7,40.6
Islamabad,Pakistan,39.2,38.6,35.2,39,41.1,40.6,40.6
Yangliuqing,China,,,,,43.1,40.5,40.5
Siliguri,India,,44.5,39.6,58.2,42.4,42.1,40.5
Ilidza,Bosnia Herzegovina,,,,,52.6,43.1,40.4
Allahabad,India,,,,,69.2,41.6,40.4
Linxi,China,,,,,39.4,41.7,40.3
Huainan,China,61.6,54.8,52.5,47.4,42.2,40.8,40.2
Lintong,China,,,36.1,37.4,33,40,40.2
Agra,India,110.6,104.8,57.2,80.2,73.4,38.2,40.2
Quilpue,Chile,,,,,,39.1,40.1
Hengshui,China,93.3,65.7,56,52.4,42.6,40.1,40.1
Xinyang,China,53.6,53.8,47.8,40.7,39.1,40.7,40.1
Xuzhou,China,67.4,65.5,57.4,49.7,47.8,40.1,40.1
Hanoi,Vietnam,45.8,40.8,46.9,37.9,36.2,40.1,40.1
Leshan,China,55.4,45.7,42,35.8,38.6,40.1,40
Korla,China,43,46.3,47.1,44.7,42.1,40,39.9
Osh,Kyrgyzstan,,,,,60.9,39.7,39.9
Kupti,India,,,34.2,28,31.1,40.7,39.7
Bhaktapur,Nepal,,,,,30.7,39.1,39.5
Changde,China,51.5,42.3,47.5,40.7,40,39,39.2
Changqing,China,,,,,37.6,39.1,39.2
Linyi,China,56.4,50.2,57.7,48.4,44.7,39.1,39.2
Taian,China,57.5,51.7,57.6,51.2,44.1,39.2,39.2
Yangcun,China,,,,,43,39.1,39.2
Kusdihra,India,,,,,,38.5,39.1
Binzhou,China,66.8,55.8,53.6,49,42.6,38.9,39
Yuxia,China,,,37,44.5,38.4,38.8,38.9
Bijelo Polje,Montenegro,,,,,,39.6,38.9
Renqiu,China,,,,,42.6,40.5,38.8
Gorakhpur,India,,,,,67,42.1,38.8
Zigong,China,69.3,56.8,47.5,45.1,44.4,38.8,38.7
Santa Anita,Peru,,,,,36.2,38.8,38.6
Zhangqiu,China,66.7,49.2,50.1,49.1,42.4,38.4,38.5
Karlovac,Croatia,,,,,59.9,37,38.4
Uzice,Serbia,,,,31.7,32.1,40,38.4
Chengdu,China,55.4,48.8,42.4,40.5,40.3,38.3,38.3
Jinchang,China,27.1,25.2,20.8,21.2,31,38.4,38.3
Nanma,China,,,,,36.1,38.3,38.3
Gaziantep,Turkey,,,,,27.3,40.2,38.3
Benin City,Nigeria,,,,,29.7,38.1,38.2
Boshan,China,,,,,37.4,37.9,38.1
Bengbu,China,59.3,52.8,51.3,44.5,39.3,38,38
Hecun,China,,,,,28.6,39.8,38
Yichang,China,57.4,52.1,52.5,40.8,40,38,38
Ratlam,India,,,,46.4,42.9,38,38
Jincheng,China,63.4,59.8,54.1,46.2,35.7,38,37.9
Yutan,China,,,,,47.5,37.8,37.9
Hosur,India,,,,,28.2,36.7,37.9
Merta,India,,,,,29.9,38.3,37.9
Sokolac,Bosnia Herzegovina,,,,,31.9,37.2,37.8
Changzhi,China,62.3,53.2,47.5,45.5,39.2,37.9,37.8
Suqian,China,56.9,53.1,47.9,45.9,39.2,37.8,37.8
Wuwei,China,43.8,42.2,33.1,37.6,40.2,37.9,37.8
Coyhaique,Chile,39.3,34.2,41.5,33.3,36.1,37.7,37.6
Sikandarabad,India,,,,,26.4,37.9,37.6
Vrindavan,India,,,,,,35.7,37.5
Yiyang,China,39.1,33.3,49.8,40,34.4,37.1,37.2
Banja Luka,Bosnia Herzegovina,,,,25,26.4,37.1,37.1
Changsha,China,51.4,45.8,46.8,41,43,37.1,37.1
Xiangtan,China,50.3,46.6,46.8,38.2,42.3,36.9,37.1
Suihua,China,35.4,35.4,37.1,39.1,32.7,36.4,36.9
Xinzhou,China,62.6,51.4,41.7,44.4,44.9,36.9,36.9
Duzce,Turkey,,,46,33.3,44.4,36.8,36.9
Taixing,China,,,,,36.7,39.8,36.8
Carabayllo,Peru,,,,18.6,27.6,37.6,36.8
Tongchuan,China,50.5,46.3,44.6,38.6,34,36.3,36.4
Chandrapur,India,44.8,41.4,35.1,32.2,47.5,35.1,36.4
Panjakent,Tajikistan,,,,,43.2,34.6,36.4
Jinzhou,China,46.8,44.4,45.3,46.9,41.6,36.2,36.3
Tianjin,China,63.2,52.3,51.3,48.9,39.9,36.2,36.3
Chaloem Phra Kiat,Thailand,,,,,,36.2,36.3
Jinan,China,63.7,52.9,54.4,49,42,36.2,36.2
Cileungsir,Indonesia,,,,,,36.6,36.2
Jakarta,Indonesia,29.7,45.3,49.4,39.6,39.2,36.2,36.2
Tehran,Iran,34,26.1,25.9,29,31.7,36.1,36.2
Ili,China,49.6,47.1,41.5,43.6,35.7,36.1,36.1
Luzhou,China,51.4,37,40.8,37.3,38.3,36.1,36.1
Ernakulam,India,,,,,,34.6,36.1
Puyang,China,68.8,63.5,63.4,59.3,37.05,37.5,36
Kalaburagi,India,,,,,,37.7,36
Vranje,Serbia,,,,,,32.5,36
Palwal,India,,,82.1,48.1,39.6,35.6,35.9
Metepec,Mexico,,,,,28.4,36.1,35.9
Botou,China,,,,,37.3,36.5,35.8
Kirtipur,Nepal,,,20,,31.1,32.9,35.8
Cacak,Serbia,,,,30.3,41.5,35.7,35.8
Bosanska Krupa,Bosnia Herzegovina,,,,,29.3,34.7,35.7
Cangzhou,China,88.7,65.2,53,52,42.1,35.7,35.7
Meishan,China,47.1,36.2,35.2,31.4,33,35.8,35.7
Shymkent,Kazakhstan,,,,,43.5,35.1,35.6
Hangu,China,,,,,36.5,35.5,35.5
Mersin,Turkey,,,,,32.5,35.3,35.5
Huai'an,China,,,,,33.6,35.3,35.3
Jijiang,China,,,34.4,34.5,34.6,35.3,35.3
Isfahan,Iran,,23.8,26.4,31.4,37.2,34.7,35.3
Malard,Iran,,,,24.7,34.3,35.3,35.3
Lanzhou,China,48.6,45.9,35.7,33,37.1,35.1,35.1
Nanchong,China,45.2,45.3,42.3,36.6,37.1,35.2,35.1
Zhenjiang,China,53.9,53.2,45,37.7,37.7,35.1,35.1
Bekasi,Indonesia,,,62.6,48.1,32.4,35.4,35.1
Gornji Milanovac,Serbia,,,,,32.5,39.5,35.1
Deyang,China,51.2,41.1,39.9,37.1,37.7,35,35
Coraut,India,,,,,,35,35
Suizhou,China,50.5,44,41.9,37,36.9,35,34.9
Lukavica,Bosnia Herzegovina,,,,,34.1,34.6,34.8
Zhongwei,China,36.6,36.9,31.5,33.3,37.1,34.8,34.8
Esfahan,Iran,,27.6,32.5,33.4,41.6,34.3,34.8
Karaj,Iran,,22.2,23,26.8,35.1,34.1,34.8
Villa Maria del Triunfo,Peru,,,,,26.9,35,34.8
Surabaya,Indonesia,,,40.6,33.4,34.8,34.4,34.7
Weifang,China,56.9,52.6,56.2,49.9,40.2,34.6,34.6
Wuzhong,China,42.9,37.9,31.1,33.9,36.5,34.6,34.6
Nashik,India,47.2,39.8,39.3,32.8,40.7,34.3,34.6
Erbil,Iraq,,,,,,35,34.6
Konya,Turkey,,,33.2,30.7,33.8,34.5,34.6
Gradiska,Bosnia Herzegovina,,,,,34.9,34.6,34.5
Lengshuijiang,China,,,,,37.2,34.3,34.5
Mianyang,China,48.5,45.3,37.8,34.2,35.8,34.5,34.5
Wuhu,China,48.2,48.8,44.4,35.9,34,34.4,34.5
Hendek,Turkey,,,,,,34.4,34.5
Zhuzhou,China,50.2,42.3,46.3,36.7,39,34.2,34.4
Ezhou,China,56.4,44.9,42.5,37.8,37.4,34.3,34.3
Suzhou,China,56,48.95,45.15,39.65,35.3,34.3,34.3
Laktasi,Bosnia Herzegovina,,,,,42.8,34.6,34.2
Guangan,China,,,32.7,31.1,34,34.3,34.2
Harbin,China,54.2,36.4,39.1,43.6,33.7,33.9,34.2
Arak,Iran,,,21.7,18.2,33.8,35,34.2
Langfang,China,78.5,55.8,47.1,43.3,40.1,34.1,34.1
Loudi,China,38.6,30.6,38.2,32.1,34.8,34,34.1
Nanzhou,China,,,,,37.7,33.9,33.9
Pljevlja,Montenegro,,,,,,34.5,33.9
Kahramanmaras,Turkey,,,,,36.4,32.8,33.9
Anqing,China,56.6,45.4,45.5,34.9,32.7,34.2,33.8
Maanshan,China,48.4,43.8,42.3,35.8,34.6,33.8,33.8
Shengli,China,,,,,34.9,33.8,33.8
Yueyang,China,47.9,43.4,42.6,36.6,35.7,33.6,33.8
Padre las Casas,Chile,38.8,43.3,32.5,28.6,37.2,33.8,33.7
Jurong,China,47.5,50.7,43.8,37.3,34.6,33.5,33.7
Fushun,China,47.2,41.2,43,43.3,39.7,33.5,33.6
Hechuan,China,,,32.5,34.1,38.8,33.8,33.6
Jiangyin,China,55.1,48.8,41.8,36.8,33.9,36.7,33.6
Luan,China,46.7,44.9,41.9,37,32.6,33.6,33.6
Dawukou,China,,,,,36.7,33.5,33.5
Gushu,China,,,,,32.8,34.3,33.5
Shizuishan,China,45.5,40.4,34.5,36.1,35.7,33.6,33.5
Tongling,China,57.2,47.1,47.3,34.9,34.1,33.5,33.5
Fuyang,China,66.9,54.4,51.9,40.55,35.95,33.3,33.4
Liaoyang,China,45.9,37.6,40.3,40.5,36.6,33.4,33.4
Xuanzhou,China,,,,,30.1,33.2,33.4
Yudong,China,,,30.4,30.3,33.4,33.5,33.4
Robat Karim,Iran,,,,,30.2,32.2,33.4
Anjiang,China,,,,,40.6,33.1,33.3
Jiangyan,China,,,,,28.3,33.1,33.3
Dongying,China,57.9,47.4,48.6,45.7,38.4,33.1,33.2
Shangmei,China,,,,,42.9,33.2,33.2
Yongfeng,China,,,,,39.9,33.1,33.2
Kicevo,North Macedonia,,,,,25,28.9,33.2
Oakridge,USA,17.5,10.5,9.7,13.3,15.9,33.5,33.2
Changzhou,China,46.8,50.3,44.7,38.7,36,33.1,33.1
Haizhou,China,,,,,30.6,35.7,33.1
